Stock Number,Name,Brand,Collection,Department,Item Type,Styles,Gender,Materials,Description,Image 1,Details,Availability,Price Notes,Price,Width,Fit,Settings,Total Carat Weight,xItem Sub Type
"ER9514WDR","","Bassali Jewelry","","Fashion","Earring","","M","14K White Gold","66RD=.20 22RD/RUBY R=.39 14K","https://bassalijewelry.com/images/items/ER9514WDR.jpg","","1","","1440","","","","","Dangle"
"ER9517WDR","","Bassali Jewelry","","Fashion","Earring","","M","14K White Gold","34RD=.10 30RD/RUBY R=.69 14K","https://bassalijewelry.com/images/items/ER9517WDR.jpg","","1","","1500","","","","","Dangle"
"ER9521WDR","","Bassali Jewelry","","Fashion","Earring","","M","14K White Gold","26RD=.08 32RD/RUBY R=.79 14K","https://bassalijewelry.com/images/items/ER9521WDR.jpg","","1","","1830","","","","","Dangle"
"ER9566D","","Bassali Jewelry","","Fashion","Earring","","M","18K Yellow Gold","106RD=.77 18K","https://bassalijewelry.com/images/items/ER9566D.jpg","","1","","3780","","","","","Dangle"
"ER9589WDSBD","","Bassali Jewelry","","Fashion","Earring","","M","18K White Gold","70RD=.54 2PC/SAPH S=.73 64BD=.36 18K","https://bassalijewelry.com/images/items/ER9589WDSBD.jpg","","1","","5460","","","","","Dangle"
"ER9608WD","","Bassali Jewelry","","Fashion","Earring","","M","14K White Gold","64RD=.53 14K","https://bassalijewelry.com/images/items/ER9608WD.jpg","","1","","2790","","","","","Cluster"
"ER9640KDAMSL","","Bassali Jewelry","","Fashion","Earring","","M","14K Rose Gold","88RD=.38 2SL=1.42 2AM=3.44 14K","https://bassalijewelry.com/images/items/ER9640KDAMSL.jpg","","1","","2010","","","","","Dangle"
"ER9675DLQSL","","Bassali Jewelry","","Fashion","Earring","","M","14K Yellow Gold","66RD=.23 32OS=1.55 2LQ/YSL=5.28 14K","https://bassalijewelry.com/images/items/ER9675DLQSL.jpg","","1","","2490","","","","","Dangle"
"ER9682KDMO","","Bassali Jewelry","","Fashion","Earring","","M","14K White Gold","180RD=.48 2PS/MORG MG=2.50 14K","https://bassalijewelry.com/images/items/ER9682KDMO.jpg","","1","","3600","","","","","Dangle"
"ER9848WDE","","Bassali Jewelry","","Fashion","Earring","","M","18K White Gold","26RD=.08 2RD/EMER E=.17 18KW","https://bassalijewelry.com/images/items/ER9848WDE.jpg","","2","","960","","","","","Studs"
"ER9848WDR","","Bassali Jewelry","","Fashion","Earring","","M","18K White Gold","26RD=.08 2RD/RUBY R=.29 18KW","https://bassalijewelry.com/images/items/ER9848WDR.jpg","","2","","960","","","","","Studs"
"ER9848WDS","","Bassali Jewelry","","Fashion","Earring","","M","18K White Gold","26RD=.08 2RD/SAPH S=.26 18KW","https://bassalijewelry.com/images/items/ER9848WDS.jpg","","6","","960","","","","","Studs"
"ER9865WD","","Bassali Jewelry","","Fashion","Earring","","M","14K White Gold","18RD=.13 14KW","https://bassalijewelry.com/images/items/ER9865WD.jpg","","1","","660","","","","","Dangle"
